,Unnamed: 0,chatroom,group,html,id,issue,mentions,sent,text,urls,username,clean
0,1,test_Typescript,test_Typescript,"for those following along, this is the proper way to do the sort of type-safe polymorphism I've been trying for the last few days",1,,,2016-11-23 23:24:56,"for those following along, this is the proper way to do the sort of type-safe polymorphism I've been trying for the last few days",,stevekane,guy
1,2,test_Typescript,test_Typescript,very analogous to typeclasses in a language that has them,2,,,2016-11-23 23:25:39,very analogous to typeclasses in a language that has them,,stevekane,need help
2,3,test_Typescript,test_Typescript,hey guys,3,,,2016-11-27 12:38:30,hey guys,,jacobus-brogly,manikandan help
3,4,test_Typescript,test_Typescript,"Hi Guys, how i can find definitions for typescript?",4,,,2016-11-28 04:52:01,"Hi Guys, how i can find definitions for typescript?",,Sweet-Bob,tell need
4,5,test_Typescript,test_Typescript,maybe exist some service? like npm,5,,,2016-11-28 04:52:48,maybe exist some service? like npm,,Sweet-Bob,package audioimport class trackinfo remotewebdriver driver appiumdriverlocalservice appiumservice string appiumserviceurl
5,6,test_Typescript,test_Typescript,you actually use npm,6,,,2016-11-28 06:02:22,you actually use npm,,dtabuenc,code use connect appium server
6,7,test_Typescript,test_Typescript,as long as you are using typsecript 2.0 +,7,,,2016-11-28 06:02:29,as long as you are using typsecript 2.0 +,,dtabuenc,server run
7,8,test_Typescript,test_Typescript,[<-LINK->],8,,,2016-11-28 06:03:15,[<-LINK->],,dtabuenc,help ein
8,9,test_Typescript,test_Typescript,so for example if you need types for lodash,9,,,2016-11-28 06:03:35,so for example if you need types for lodash,,dtabuenc,appium log
9,10,test_Typescript,test_Typescript,you do [<-CODE->],10,,,2016-11-28 06:03:42,you do [<-CODE->],,dtabuenc,nothing come appium server
10,11,test_Typescript,test_Typescript,Could somebody give me a helping hand in order to generate a npm module from a typescript library? Which steps would I need to follow?I've created a [<-LINK->] in order to give access to the code.,11,,,2016-11-28 11:03:59,Could somebody give me a helping hand in order to generate a npm module from a typescript library? Which steps would I need to follow?I've created a [<-LINK->] in order to give access to the code.,,jeusdi,screenshot
11,12,test_Typescript,test_Typescript,dtabuenc: basically converts it to mongoose-way,12,,,2016-11-28 11:04:19,dtabuenc: basically converts it to mongoose-way,,serhiisol,last login tue nov ttysrimm user appiumappium welcome appium appium rest http interface listener start
12,13,test_Typescript,test_Typescript,jeusdi: just adddeclarations: trueto your tsconfig,13,,,2016-11-28 11:05:30,jeusdi: just adddeclarations: trueto your tsconfig,,dtabuenc,state
13,14,test_Typescript,test_Typescript,and addtypes: index.d.tsto your package.config,14,,,2016-11-28 11:05:41,and addtypes: index.d.tsto your package.config,,dtabuenc,appiumserviceurl
14,15,test_Typescript,test_Typescript,dtabuenc: let me a time in order to dive a bit into whatdeclarations: trueandtypes: index.d.tsmeans,15,,,2016-11-28 11:06:56,dtabuenc: let me a time in order to dive a bit into whatdeclarations: trueandtypes: index.d.tsmeans,,jeusdi,remove code
15,16,test_Typescript,test_Typescript,declarations true makestscoutput a.d.tsfile for every.jsfile it outputs,16,,,2016-11-28 11:07:27,declarations true makestscoutput a.d.tsfile for every.jsfile it outputs,,dtabuenc,
16,17,test_Typescript,test_Typescript,andtypesin pacakge.json just points to it,17,,,2016-11-28 11:07:42,andtypesin pacakge.json just points to it,,dtabuenc,run
17,18,test_Typescript,test_Typescript,"Mmm, as far I've been able to figure out""*.d.ts""files stand for providing typescript code to javascript libraries, doesn't it?",18,,,2016-11-28 11:10:54,"Mmm, as far I've been able to figure out""*.d.ts""files stand for providing typescript code to javascript libraries, doesn't it?",,jeusdi,
18,19,test_Typescript,test_Typescript,"By other side,index.d.tsis generated or is hand-made?",19,,,2016-11-28 11:11:34,"By other side,index.d.tsis generated or is hand-made?",,jeusdi,
