chatroom,group,html,id,issues,mentions,sent,text,urls,username
24pullrequests/24pullrequests,Ruby,nah it&#39;s all good,547ddf5ee183744b3cb998fd,,,2014-12-02T15:48:46.501Z,nah it's all good,,andrew
24pullrequests/24pullrequests,Ruby,"<span data-link-type=""mention"" data-screen-name=""arthurnn"" class=""mention"">@arthurnn</span> got some failing tests: <a href=""https://travis-ci.org/24pullrequests/24pullrequests/builds/42750326"" rel=""nofollow"" target=""_blank"" class=""link"">https://travis-ci.org/24pullrequests/24pullrequests/builds/42750326</a>",547ddf7f519c26505ceff2f2,,arthurnn,2014-12-02T15:49:19.368Z,@arthurnn got some failing tests: https://travis-ci.org/24pullrequests/24pullrequests/builds/42750326,https://travis-ci.org/24pullrequests/24pullrequests/builds/42750326,andrew
24pullrequests/24pullrequests,Ruby,on it,547ddf89ffcca6d315c2de2e,,,2014-12-02T15:49:29.728Z,on it,,arthurnn
24pullrequests/24pullrequests,Ruby,"super wierd.. <a href=""https://github.com/24pullrequests/24pullrequests/commit/85b481537b084648bd9b220d637641d9cae0436b#diff-b7186ba040870c69d2ae394fa317ea64R50"" rel=""nofollow"" target=""_blank"" class=""link"">https://github.com/24pullrequests/24pullrequests/commit/85b481537b084648bd9b220d637641d9cae0436b#diff-b7186ba040870c69d2ae394fa317ea64R50</a> actually removed the method call",547de02affcca6d315c2de42,,,2014-12-02T15:52:10.513Z,super wierd.. https://github.com/24pullrequests/24pullrequests/commit/85b481537b084648bd9b220d637641d9cae0436b#diff-b7186ba040870c69d2ae394fa317ea64R50 actually removed the method call,https://github.com/24pullrequests/24pullrequests/commit/85b481537b084648bd9b220d637641d9cae0436b#diff-b7186ba040870c69d2ae394fa317ea64R50,arthurnn
24pullrequests/24pullrequests,Ruby,ahhh,547de0698f9bdfd965534dbf,,,2014-12-02T15:53:13.234Z,ahhh,,arthurnn
24pullrequests/24pullrequests,Ruby,lol,547de069ffcca6d315c2de4c,,,2014-12-02T15:53:13.879Z,lol,,arthurnn
24pullrequests/24pullrequests,Ruby,nvm,547de06a8f9bdfd965534dc0,,,2014-12-02T15:53:14.729Z,nvm,,arthurnn
24pullrequests/24pullrequests,Ruby,"yeah, im doing the rebase for the mobile visual issue and im getting a error message becouse of this call",547de0bd7fe8dfe6247668e8,,,2014-12-02T15:54:37.667Z,"yeah, im doing the rebase for the mobile visual issue and im getting a error message becouse of this call",,luanmuniz
24pullrequests/24pullrequests,Ruby,fixed.. just running all tests locally to make sure,547de0e57fe8dfe6247668eb,,,2014-12-02T15:55:17.969Z,fixed.. just running all tests locally to make sure,,arthurnn
24pullrequests/24pullrequests,Ruby,as I should`ve done in the first place . :crying_cat_face: ,547de0f5ffcca6d315c2de66,,,2014-12-02T15:55:33.837Z,as I should`ve done in the first place . :crying_cat_face: ,,arthurnn
