,id,text,clean,sent,username,chatroom,mention,ngrams,involved,back_and_forth,bigrams,discussionId
0,1,"for those following along, this is the proper way to do the sort of type-safe polymorphism I've been trying for the last few days",guy,2016-11-23 23:24:56,stevekane,test_Typescript,0,0,0,0,,[1]
1,2,very analogous to typeclasses in a language that has them,need help,2016-11-23 23:25:39,stevekane,test_Typescript,0,0,1,0,,[1]
2,3,hey guys,manikandan help,2016-11-27 12:38:30,jacobus-brogly,test_Typescript,0,0,0,0,,[]
3,4,"Hi Guys, how i can find definitions for typescript?",tell need,2016-11-28 04:52:01,Sweet-Bob,test_Typescript,0,0,0,0,,[2]
4,5,maybe exist some service? like npm,package audioimport class trackinfo remotewebdriver driver appiumdriverlocalservice appiumservice string appiumserviceurl,2016-11-28 04:52:48,Sweet-Bob,test_Typescript,0,0,1,0,a package,[2]
5,6,you actually use npm,code use connect appium server,2016-11-28 06:02:22,dtabuenc,test_Typescript,0,0,0,1,,[3]
6,7,as long as you are using typsecript 2.0 +,server run,2016-11-28 06:02:29,dtabuenc,test_Typescript,0,0,1,1,,[3]
7,8,[<-LINK->],help ein,2016-11-28 06:03:15,dtabuenc,test_Typescript,0,0,1,1,,[3]
8,9,so for example if you need types for lodash,appium log,2016-11-28 06:03:35,dtabuenc,test_Typescript,0,0,1,1,,[3]
9,10,you do [<-CODE->],nothing come appium server,2016-11-28 06:03:42,dtabuenc,test_Typescript,0,0,1,0,a me,[3]
10,11,Could somebody give me a helping hand in order to generate a npm module from a typescript library? Which steps would I need to follow?I've created a [<-LINK->] in order to give access to the code.,screenshot,2016-11-28 11:03:59,jeusdi,test_Typescript,0,0,0,0,,[4]
11,12,dtabuenc: basically converts it to mongoose-way,last login tue nov ttysrimm user appiumappium welcome appium appium rest http interface listener start,2016-11-28 11:04:19,serhiisol,test_Typescript,1,0,0,0,a me,[3]
12,13,jeusdi: just adddeclarations: trueto your tsconfig,state,2016-11-28 11:05:30,dtabuenc,test_Typescript,1,0,0,0,,"[3, 4]"
13,14,and addtypes: index.d.tsto your package.config,appiumserviceurl,2016-11-28 11:05:41,dtabuenc,test_Typescript,0,0,1,0,,"[3, 4]"
14,15,dtabuenc: let me a time in order to dive a bit into whatdeclarations: trueandtypes: index.d.tsmeans,remove code,2016-11-28 11:06:56,jeusdi,test_Typescript,1,0,0,0,,"[3, 4]"
15,16,declarations true makestscoutput a.d.tsfile for every.jsfile it outputs,,2016-11-28 11:07:27,dtabuenc,test_Typescript,0,0,1,0,,"[3, 4]"
16,17,andtypesin pacakge.json just points to it,run,2016-11-28 11:07:42,dtabuenc,test_Typescript,0,0,1,0,,"[3, 4]"
17,18,"Mmm, as far I've been able to figure out""*.d.ts""files stand for providing typescript code to javascript libraries, doesn't it?",,2016-11-28 11:10:54,jeusdi,test_Typescript,0,0,1,0,,"[3, 4]"
18,19,"By other side,index.d.tsis generated or is hand-made?",,2016-11-28 11:11:34,jeusdi,test_Typescript,0,0,1,0,,"[3, 4]"
19,20,jeusdi: when you compile ts it produces a.jsbut the js has no information about the types. If you havedeclarations: trueit will also produce a.d.tsfile which has the type information,willl try,2016-11-28 11:12:41,dtabuenc,test_Typescript,1,0,0,0,,"[3, 4]"
20,21,the.d.tsfile is only used if you import that module in another typescript project,change,2016-11-28 11:12:58,dtabuenc,test_Typescript,0,0,1,0,,"[3, 4]"
21,22,Got it!,remotewebdriver,2016-11-28 11:17:44,jeusdi,test_Typescript,0,0,1,0,,"[3, 4]"
22,23,[<-ISSUE->] another@ahejlsbergslamdunk,iosdriver,2016-11-28 18:31:23,stevekane,test_Typescript,0,0,0,0,,[]
23,24,how do I enable generaotrs in tsconfig so when I use async / await in 2.1.1 so my code will take advantage of generators and thus create a lot less trasnpiled code (I am only targeting latest browsers) ?,,2016-11-29 01:20:18,born2net,test_Typescript,0,0,0,1,,[5]
24,25,found it,,2016-11-29 01:21:01,born2net,test_Typescript,0,0,1,1,,[5]
25,26,sorry didn't find it,try say,2016-11-29 01:23:18,born2net,test_Typescript,0,0,1,1,,[5]
26,27,I thought this will do it,,2016-11-29 01:24:50,born2net,test_Typescript,0,0,1,1,,[5]
27,28,[<-CODE->],create issue anyone help,2016-11-29 01:25:01,born2net,test_Typescript,0,0,1,0,"a issue, an issue, create i",[5]
28,29,but still I dont see it taking advantage of generators,guy want test new application need configure webdriver agent,2016-11-29 01:25:17,born2net,test_Typescript,0,0,1,0,a new,[5]
29,30,when used,capability code real device,2016-11-29 01:25:29,born2net,test_Typescript,0,0,1,0,,[5]
30,31,[<-CODE->],guy one help real device capability code,2016-11-29 01:25:37,born2net,test_Typescript,0,0,1,0,,[5]
31,32,same results,guy want test new application need configure webdriver agent,2016-11-29 01:25:39,born2net,test_Typescript,0,0,1,0,a new,[5]
32,33,also tried,capability code real device,2016-11-29 01:29:36,born2net,test_Typescript,0,0,1,0,,[5]
33,34,[<-CODE->],new android development ive learn java past months really like work android app idea anyone help understand need study get concepts clear develop app,2016-11-29 01:29:38,born2net,test_Typescript,0,0,1,0,"a new, like work",[5]
34,35,born2net: you have to target es6,,2016-11-29 01:30:32,dtabuenc,test_Typescript,1,0,0,0,,[5]
35,36,"""target"": ""es6""",heres link want develop sake learn,2016-11-29 01:30:57,dtabuenc,test_Typescript,0,0,1,0,,[5]
36,37,"the""lib""property is just for type declarations from those libs, it doesn't change what's output",,2016-11-29 01:32:07,dtabuenc,test_Typescript,0,0,1,0,,[5]
37,38,can I force typescript to trust a cast?,look question,2016-11-30 02:32:23,stevekane,test_Typescript,0,0,0,0,,[6]
38,39,"What do you mean by ""trust""?",guy one help real device capability code,2016-11-30 02:32:37,Izzmo,test_Typescript,0,0,0,0,,[7]
39,40,"like if I implement a safer function that the type system cannot verify is correct, can I cast it",tell use inspector ios appium,2016-11-30 02:32:40,stevekane,test_Typescript,0,0,1,0,"a s, i use",[6]
40,41,"such that I'm saying ""trust me compiler, this is correct""",achinictwitter,2016-11-30 02:32:47,stevekane,test_Typescript,0,0,1,0,,[6]
41,42,Yes,,2016-11-30 02:32:50,Izzmo,test_Typescript,0,0,1,0,,[7]
42,43,yeah,mgmanikandan thank lot let know one thing clarification enable phone support development xcode due select iphone via accessibility inspector,2016-11-30 02:32:51,dtabuenc,test_Typescript,0,0,0,0,a via,[]
43,44,varunjayaraman: You need to use [<-LINK->] for typescript stack traces in node,connect device launch inspect though view screen,2016-11-30 07:27:37,mika-fischer,test_Typescript,0,0,0,0,,[]
44,45,"Hey! Is@types/angular-mocks removed? npmjs tells me that the latest version is ""0.0.0"" and I can't find it in DT on Github :D",manu thank,2016-11-30 08:28:42,kristho91,test_Typescript,0,0,0,0,,[8]
45,46,[<-LINK->],work great know know keyboard open,2016-11-30 08:39:04,con-ssc,test_Typescript,0,0,0,1,,[8]
46,47,"con-ssc: I see that :) But the latest version is stated as ""0.0.0""",andorid app,2016-11-30 08:39:30,kristho91,test_Typescript,1,0,0,0,,[8]
47,48,well if they use that in their package json so it is,dont think option check keyboard open try catch hide keyboard throw exception mean keyboard already close,2016-11-30 08:39:51,con-ssc,test_Typescript,0,0,1,1,"a keyboard, m on",[8]
48,49,"True, but I can't find it on DT on github, that's why I think they maybe removed it. But could just be a mistake",work,2016-11-30 08:40:28,kristho91,test_Typescript,0,0,1,0,,[8]
49,50,[<-LINK->],languages everyone use write test mochajs ruby python think best,2016-11-30 08:41:40,con-ssc,test_Typescript,0,0,1,1,,[8]
50,51,Oh... It's in another branch :D,languages everyone use write test mochajs ruby python think best,2016-11-30 08:41:43,kristho91,test_Typescript,0,0,1,0,,[8]
51,52,[<-LINK->],use appium android sdk apk installation get error never see beforedevice api level,2016-11-30 08:42:00,con-ssc,test_Typescript,0,0,1,0,a use,[8]
52,53,They pull it from types-2.0 branchs,use appium android sdk apk installation get error never see beforedevice api level,2016-11-30 08:42:11,kristho91,test_Typescript,0,0,1,0,a use,[8]
53,54,can someone check out my code?,use appium android sdk apk installation get error never see beforedevice api level,2016-11-30 19:54:18,jacobus-brogly,test_Typescript,0,0,0,1,a use,"[8, 9]"
54,55,[<-LINK->],use appium android sdk apk installation get error never see beforedevice api level,2016-11-30 19:54:19,jacobus-brogly,test_Typescript,0,0,1,1,a use,"[8, 9]"
55,56,first time I am using TS,use appium android sdk apk installation get error never see beforedevice api level,2016-11-30 19:54:26,jacobus-brogly,test_Typescript,0,0,1,1,a use,"[8, 9]"
56,57,I am interesting in opinions of some senior programmers,use appium android sdk apk installation get error never see beforedevice api level,2016-11-30 19:56:46,jacobus-brogly,test_Typescript,0,0,1,1,a use,"[8, 9]"
