,id,text,clean,sent,username,chatroom,mention,ngrams,involved,back_and_forth,bigrams,discussionId
0,1,guys,guy,2016-11-22 08:00:11,MadebyBala,test_Appium,0,0,0,0,,[1]
1,2,i need on help,need help,2016-11-22 08:00:24,MadebyBala,test_Appium,0,0,1,0,,[1]
2,3,manikandan can u help me,manikandan help,2016-11-22 08:00:36,MadebyBala,test_Appium,0,0,1,0,help manikandan,[1]
3,4,tell me what you need ?,tell need,2016-11-22 08:00:56,mgmanikandan87,test_Appium,0,0,0,0,,[]
4,5,package audio;import java.net.MalformedURLException;import java.net.URL;import java.util.concurrent.TimeUnit;import org.openqa.selenium.WebDriver;import org.openqa.selenium.remote.CapabilityType;import org.openqa.selenium.remote.DesiredCapabilities;import org.openqa.selenium.remote.RemoteWebDriver;import org.testng.annotations.BeforeTest;import org.testng.annotations.Test;import io.appium.java_client.ios.IOSDriver;import io.appium.java_client.service.local.AppiumDriverLocalService;public class trackinfo { RemoteWebDriver driver; AppiumDriverLocalService appiumService; //String appiumServiceUrl; [<-CODE->],package audioimport class trackinfo remotewebdriver driver appiumdriverlocalservice appiumservice string appiumserviceurl,2016-11-22 08:01:31,MadebyBala,test_Appium,0,0,1,1,"audio package, class trackinfo","[1, 2]"
5,6,this the code i am using but i cant connect to appium server,code use connect appium server,2016-11-22 08:01:58,MadebyBala,test_Appium,0,0,1,1,"appium server, code use","[1, 2]"
6,7,but server is running,server run,2016-11-22 08:02:07,MadebyBala,test_Appium,0,0,1,1,,"[1, 2]"
7,8,can u help m ein this,help ein,2016-11-22 08:02:15,MadebyBala,test_Appium,0,0,1,1,,"[1, 2]"
8,9,appium logs ?,appium log,2016-11-22 08:03:31,mgmanikandan87,test_Appium,0,0,0,1,appium log,[2]
9,10,nothing is coming in my appium server,nothing come appium server,2016-11-22 08:04:00,MadebyBala,test_Appium,0,0,1,0,"a me, appium server",[2]
10,11,screenshot ?,screenshot,2016-11-22 08:04:07,mgmanikandan87,test_Appium,0,0,1,1,,"[2, 3]"
11,12,Last login: Tue Nov 22 12:56:56 on ttys000RIMM12:~ user$ appium[Appium] Welcome to Appium v1.6.1-beta[Appium] Appium REST http interface listener started on 0.0.0.0:4723,last login tue nov ttysrimm user appiumappium welcome appium appium rest http interface listener start,2016-11-22 08:04:08,MadebyBala,test_Appium,0,0,1,1,"a me, http interface, interface listener","[2, 3]"
12,13,its is just in this state only,state,2016-11-22 08:04:26,MadebyBala,test_Appium,0,0,1,1,,"[2, 3]"
13,14,[<-CODE->] appiumServiceUrl = appiumService.getUrl().toString();,appiumserviceurl,2016-11-22 08:04:28,mgmanikandan87,test_Appium,0,0,1,1,,"[2, 4]"
14,15,can you remove above code,remove code,2016-11-22 08:04:35,mgmanikandan87,test_Appium,0,0,1,1,,"[3, 4]"
15,16,,,2016-11-22 08:04:36,mgmanikandan87,test_Appium,0,0,1,1,,"[3, 4]"
16,17,and run it,run,2016-11-22 08:04:43,mgmanikandan87,test_Appium,0,0,1,1,,"[3, 4]"
17,18,ok,,2016-11-22 08:04:51,MadebyBala,test_Appium,0,0,0,1,,[3]
18,19,and,,2016-11-22 08:04:55,mgmanikandan87,test_Appium,0,0,1,0,,[3]
19,20,i willl try it,willl try,2016-11-22 08:05:03,MadebyBala,test_Appium,0,0,1,1,try willl,[3]
20,21,change,change,2016-11-22 08:05:05,mgmanikandan87,test_Appium,0,0,1,0,,[3]
21,22,RemoteWebDriver,remotewebdriver,2016-11-22 08:05:07,mgmanikandan87,test_Appium,0,0,1,0,,[3]
22,23,to IOSDriver<>,iosdriver,2016-11-22 08:05:20,mgmanikandan87,test_Appium,0,0,1,0,,[3]
23,24,as ok,,2016-11-22 08:05:29,MadebyBala,test_Appium,0,0,1,0,,[3]
24,25,ok,,2016-11-22 08:05:33,MadebyBala,test_Appium,0,0,1,0,,[3]
25,26,i will try it and say u,try say,2016-11-22 08:05:46,MadebyBala,test_Appium,0,0,1,0,,[3]
26,27,ok,,2016-11-22 08:06:02,mgmanikandan87,test_Appium,0,0,1,0,,[3]
27,28,I created an issue if anyone could help: [<-ISSUE->],create issue anyone help,2016-11-23 13:16:57,TusharRastogi,test_Appium,0,0,0,0,"an issue, anyone help, help one",[]
28,29,hi guys.. if i want to test new application do i need to configure webDriver Agent again...,guy want test new application need configure webdriver agent,2016-11-24 04:57:11,MadebyBala,test_Appium,0,0,1,1,"a new, a webdriver, application new, need on, new test","[3, 4]"
29,30,what is the capability code for real device,capability code real device,2016-11-24 09:24:48,MadebyBala,test_Appium,0,0,1,1,"capability code, device real","[3, 4]"
30,31,guys can any one help with real device capability code..,guy one help real device capability code,2016-11-28 08:37:03,MadebyBala,test_Appium,0,0,1,1,"capability code, capability device, device real, help one","[3, 4]"
31,32,hi guys.. if i want to test new application do i need to configure webDriver Agent again...,guy want test new application need configure webdriver agent,2016-11-24 04:57:11,MadebyBala,test_Appium,0,0,1,1,"a new, a webdriver, application new, need on, new test","[3, 4]"
32,33,what is the capability code for real device,capability code real device,2016-11-24 09:24:48,MadebyBala,test_Appium,0,0,1,0,"capability code, device real",[3]
33,34,"I am new to android development, i've been learning java for past 2 months and would really like to work on an android app Idea of my own. Can anyone help me in understanding what i need to study to get my concepts clear for developing my app",new android development ive learn java past months really like work android app idea anyone help understand need study get concepts clear develop app,2016-11-24 17:48:45,thePercept,test_Appium,0,0,0,0,"a android, a new, an idea, android app, android development, any idea, anyone help, app i, clear concepts, help one, help u, like really",[4]
34,35,?,,2016-11-24 17:48:48,thePercept,test_Appium,0,0,1,0,,[4]
